GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS566773060	2018-01-12 22:25:12.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			2				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2018-01-12	13:10:00	obsr940190	S41855815	Stationary	P21	EBIRD	35			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS570064715	2018-01-21 22:58:01.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			2				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2018-01-21	10:25:00	obsr940190	S42146876	Stationary	P21	EBIRD	35			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS566771871	2018-01-12 22:28:18.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			1				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2018-01-11	09:20:00	obsr940190	S41855720	Stationary	P21	EBIRD	45			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS570695819	2018-01-24 09:45:38.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			2				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2018-01-24	08:34:00	obsr665305	S42197592	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch exercise bike 36 degrees sunny 		
URN:CornellLabOfOrnithology:EBIRD:OBS569507858	2018-01-20 17:15:06.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			5				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Montgomery Zoo	L2303228	H	32.4193978	-86.2748623	2018-01-20	16:13:00	obsr1002010	S42103058	Stationary	P21	EBIRD	1			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS562797970	2018-01-01 17:13:21.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			12				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			2123–2219 Okfuski Trl, Pike Road US-AL (32.3455,-86.0080)	L6649440	P	32.345463	-86.007992	2018-01-01	15:51:00	obsr665305	S41522150	Traveling	P22	EBIRD	21	5.489		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS566307691	2018-01-11 11:41:54.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			1				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			100 Museum Dr, Montgomery US-AL (32.3512,-86.2072)	L6701796	P	32.351214	-86.20725	2018-01-11	10:36:00	obsr665305	S41818553	Traveling	P22	EBIRD	5	0.196		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS567542583	2018-01-14 19:54:35.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			3				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Ramer, Alabama	L5830207	P	32.054564	-86.219386	2018-01-14	15:12:00	obsr688433	S41916152	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS569756410	2018-01-21 10:43:58.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			2				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2018-01-21	09:34:00	obsr665305	S42122044	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch exercise bike 52 degrees sunny 		
URN:CornellLabOfOrnithology:EBIRD:OBS566333425	2018-01-11 13:03:30.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			4				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Dam on Lake Cameron back to highway, Pike Road, AL  36064, Pike Road US-AL (32.3561,-86.0182)	L6620960	P	32.356063	-86.018177	2018-01-11	11:49:00	obsr665305	S41820566	Traveling	P22	EBIRD	14	1.611		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS568461744	2018-01-17 13:57:34.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			1				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct	L4261069	P	32.3408593	-86.1836672	2018-01-17	11:30:00	obsr698531	S41994412	Stationary	P21	EBIRD	15			1	1		0	1	0			this was an immature female Myrtle Warbler	
URN:CornellLabOfOrnithology:EBIRD:OBS567597105	2018-01-14 22:07:54.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			2				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2018-01-14	14:35:00	obsr940190	S41920236	Stationary	P21	EBIRD	45			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS572943868	2018-01-31 09:27:51.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			2				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2018-01-31	08:18:00	obsr665305	S42384345	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch exercise bike 35 degrees sunny 		
URN:CornellLabOfOrnithology:EBIRD:OBS570152887	2018-01-22 10:18:14.0	27938	species	Yellow-rumped Warbler	Setophaga coronata			1				United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2018-01-22	09:08:00	obsr665305	S42153715	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch exercise bike 54 degrees overcast 		
